Titles,Companies,Currencies,Salaries,Closing Dates
Assistant IT Officer,Bernhard Schulte Shipmanagement (Hong Kong) Limited Partnership,HKD ($),16K - 21K per month,2024-09-13
LPSQ Officer,Bernhard Schulte Shipmanagement (Hong Kong) Limited Partnership,HKD ($),21K - 28K per month,2024-09-13
Chemist,Heraeus Limited,HKD ($),Negotiable,2024-09-13
Audit Junior,Y.K. Tsang & Company,HKD ($),12K - 18K per month,2024-09-13
TRAINEE: Liquidity and Structural Risks Analyst,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-12
TRAINEE: Market Activity Analyst,Societe Generale - Hong Kong Branch,HKD ($),30K - 34K per month,2024-09-13
Assistant Editor (Secondary Mathematics) 中學數學教材編輯助理,"Educational Publishing House, Limited",HKD ($),15K - 17K per month,2024-09-13
ABA Therapist with Professional Training (5-days work) - Fresh Graduates are welcome,Autism Partnership Limited,HKD ($),15K - 22K per month,2024-08-30
Assistant Production Engineer,Avery Instrument Limited,HKD ($),15K - 18K per month,2024-09-13
Accounting Clerk / Assistant (Welcome Fresh Graduates),Hong Kong Technology Venture Company Limited,HKD ($),Negotiable,2024-09-10
Marketing Officer (Fresh graduates are also welcomed),"Educational Publishing House, Limited",HKD ($),17K - 23K per month,2024-09-13
Assistant Test Engineer / Test Engineer (E&E),TUV SUD Hong Kong Limited,HKD ($),Negotiable,2024-09-13
Sales Executive (ThePlace) - Welcome Fresh Graduates,Hong Kong Technology Venture Company Limited,HKD ($),17K - 25K per month,2024-09-13
Administrative Assistant (O2O Leasing Team) - Welcome Fresh Graduates,Hong Kong Technology Venture Company Limited,HKD ($),17K - 20K per month,2024-09-12
Manager Trainee (Business Development),AM730 Media Limited,HKD ($),15K - 18K per month,2024-09-10
Engineer Trainee,Takasago Thermal Engineering (Hong Kong) Company Limited,HKD ($),20K - 21K per month,2024-09-13
Graduate Structural Engineer,Buro Happold International (Hong Kong) LImited,HKD ($),Negotiable,2024-09-13
R&D Physicist,Jabez Innovation Limited,HKD ($),22K - 40K per month,2024-09-13
Sales and Marketing Assistant,BANDS Financial Limited,HKD ($),20K - 25K per month,2024-09-13
Sales Coordinator,GDC Technology Limited,HKD ($),Negotiable,2024-09-13
Sonographer (Part time / Full time),Medtimes Medical Group Limited,HKD ($),Negotiable,2024-09-10
Assistant Officer (Job ID: 10125),The Hong Kong University of Science & Technology-Human Resources Office,HKD ($),Negotiable,2024-09-13
三級項目主任 (PO III) (合約) (編號：WCDEC/87224),St. James' Settlement,HKD ($),Negotiable,2024-08-31
Project Executive (English / Chinese) (Full time) (特殊需要學習支援導師),Boaz International Education Institute Limited,HKD ($),20K per month,2024-08-31
Senior Research Assistant in Department of Chinese Language Studies (Ref: 2400810),The Education University of Hong Kong,HKD ($),32.4K per month,2024-08-22
Programmer (Client App),Mad Head App Limited,HKD ($),18K - 22K per month,2024-09-13
Senior Engineer / Engineer – Low Carbon Material,Nano and Advanced Materials Institute Limited,HKD ($),22K - 50K per month,2024-09-13
Operations Associate,Amber AM Limited,HKD ($),18K per month,2024-09-13
Senior Engineer / Engineer - Elastomers and Plastics,Nano and Advanced Materials Institute Limited,HKD ($),22K - 45K per month,2024-09-13
Senior Engineer / Engineer - ECO Functional Coating Materials,Nano and Advanced Materials Institute Limited,HKD ($),22K - 50K per month,2024-09-13
Senior Engineer / Engineer – Sprayed Concrete,Nano and Advanced Materials Institute Limited,HKD ($),22K - 50K per month,2024-09-13
Senior Engineer / Engineer – Functional Polymer,Nano and Advanced Materials Institute Limited,HKD ($),22K - 45K per month,2024-09-13
Senior Engineer / Engineer – Epoxy Resin & Polymer Synthesis,Nano and Advanced Materials Institute Limited,HKD ($),22K - 50K per month,2024-09-13
Management Trainee,晉昇貿易公司,HKD ($),25K - 50K per month,2024-08-26
Graphic Designer,Mad Head App Limited,HKD ($),17K - 21K per month,2024-09-13
Senior Engineer / Engineer – Catalysis,Nano and Advanced Materials Institute Limited,HKD ($),30K - 40K per month,2024-09-13
